,title,company_name,location,description,details_page_link
63,Junior / Senior Mobile Application Developer (Bayan Lepas),Silvercom Technologies.,Penang,"
JUNIOR / SENIOR MOBILE APPLICATION DEVELOPER - IOS DEVELOPER(Work location : Bayan Lepas, Penang) Responsibilities :• Understand... ",https://www.jobstreet.com.my/en/job/junior-senior-mobile-application-developer-bayan-lepas-4000748?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=61
64,Junior / Senior Mobile Application Developer (Bayan Lepas),Silvercom Technologies.,Penang,"
JUNIOR / SENIOR MOBILE APPLICATION DEVELOPER - IOS DEVELOPER(Work location : Bayan Lepas, Penang) Responsibilities :• Understand... ",https://www.jobstreet.com.my/en/job/1
65,"[SY] PHP Full Stack Developer, Bayan Leaps, 2.8k-5k!! (Ref: 43778)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Bayan Lepas (Penang),"
✨ Expert in Back End Programming language?✨ Software development experience in PHP?✨ If yes, please come and join us now!!! ✔️ Job Scope: Creat... ",https://www.jobstreet.com.my/en/job/sy-php-full-stack-developer-bayan-leaps-28k-5k-ref-43778-4034475?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=62
66,"[Yc] Mobile App Developer (Android) Jelutong, Penang (Ref no.42353)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Penang - Jelutong,"
✨ Expertise and experiential in Mobile App Development (Android)?✨ If yes, please come and join us now!!! **Open for Foreign candidate who are looking ... ",https://www.jobstreet.com.my/en/job/yc-mobile-app-developer-android-jelutong-penang-ref-no42353-4034423?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=63
67,Senior Functional Test Developer Support (Penang Design Center),Plexus Manufacturing Sdn Bhd,Penang,"
Company OverviewThe Product Realization Company. Plexus uses a unique Product Realization service model to transform customer concepts into branded... ",https://www.jobstreet.com.my/en/job/senior-functional-test-developer-support-penang-design-center-3999356?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=64
68,Senior Back-End Developer,Aemulus Corporation Sdn Bhd,"Bayan Lepas (Penang) - One Precinct,  Lengkok Mayang Pasir, 11950","
Your job is to write codes, codes that will turn your imagination into a reality; appreciated by your “one"" and only - the end users.... ",https://www.jobstreet.com.my/en/job/senior-back-end-developer-3998574?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=65
69,"[J] Junior Mobile Developer, Bayan Baru, up to 5k!!! (Ref. No: 44775)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Bayan Lepas (Penang),"
✨ Experience in working with RESTFUL and SOAP web services, XML / JSON data formats, tools like PhoneGap and Xamarin?✨ Understand Apple’s iOS... ",https://www.jobstreet.com.my/en/job/j-junior-mobile-developer-bayan-baru-up-to-5k-ref-no-44775-4032119?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=66
70,SAP SuccessFactors Integration Developer,Seagate,George Town (Penang),"
192199 SAP SuccessFactors Integration Developer (Open Date: 07/11/2019)About the Role – You will: Manage data analysis and data integration of disparate systems. Work with IT application owners to identify requirements to satisfy business needs. Translate functional specifications into technical d... ",https://www.jobstreet.com.my/en/job/ai/24285468?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=67
71,Senior Web Developer,EY Brightree Sdn Bhd,Others (Penang) - Island Plaza,"
Job Responsibilities To work with the clients to understand the business requirement and translate into UI design. To develop or code the UI front end... ",https://www.jobstreet.com.my/en/job/senior-web-developer-3985577?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=68
72,Salesforce Developer,UST Global (Malaysia) Sdn .Bhd.,Bayan Lepas (Penang),"
 Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Engineering (Computer/Telecommunication),... ",https://www.jobstreet.com.my/en/job/salesforce-developer-3994425?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=69
73,Web / Mobile / Windows Application Developer (Junior / Senior),Agensi Pekerjaan CareerMaster Sdn Bhd,"Johor, Kedah, Kelantan, Kuala Lumpur, Labuan, Melaka, Negeri Sembilan, Pahang, Penang, Perak, Perlis, Putrajaya, Sabah, Sarawak, Selangor, Terengganu","
JOB RESPONSIBILITIES: Work with third party to fulfill project requirements and integration of services. Resolves and/or escalate issues in a timely fashion. Help develop documentation, processes, workflows, and checklists, as needed. Ability to work cross functionally with various teams &... ",https://www.jobstreet.com.my/en/job/web-mobile-windows-application-developer-juniorsenior-4028171?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=70
74,"Senior Back-End Developer (Penang, RM5000 & Above)",Capita Global Northern 2,Penang,"
Responsibilities Analyze software performance and perform system/code optimization. Integrate user-facing elements developed by front-end developers with the server side. Integrate external services and resources into applications. Implement automated testing platforms and unit tests. Requirements... ",https://www.jobstreet.com.my/en/job/senior-back-end-developer-penang-rm5000-above-4028141?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=71
75,Developer / Senior Developer / Lead developer,Nezda Malaysia,Penang,"
Roles and Responsibilities: Working with scrum team members to analyze and clarify user stories and developing corresponding technical solutions.... ",https://www.jobstreet.com.my/en/job/developer-senior-developer-lead-developer-4025847?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=72
76,"[J] Assistant General Manager, Jelutong, up to 10k! (Ref: 45851)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Penang - Jelutong,"
✨ Do you have at least 10 years experience in developer/construction company (experience in completing full cycle high rise project)??✨ If yes, ple... ",https://www.jobstreet.com.my/en/job/j-assistant-general-manager-jelutong-up-to-10k-ref-45851-4044482?fr=21&src=16&srcr=16&searchRequestToken=37aebba0-aab7-40f7-fd6f-20eb949cc136&sectionRank=73
